dk_player_id,draftable_id,name,position,team,salary,roster_slot,status,game,starts_utc,norm,flex_eligible,captain_salary,draft_group,game_type,captured_at
332,44104973,Broncos,DST,DEN,4800,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,broncos,1,7200,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
339,44104974,Chiefs,DST,KC,4400,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,chiefs,1,6600,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
448240,44104965,Travis Kelce,TE,KC,7000,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,travis kelce,1,10500,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
472623,44105008,James Winchester,TE,KC,200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,james winchester,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
700299,44104971,Wil Lutz,K,DEN,5200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,wil lutz,1,7800,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
748560,44104972,Harrison Butker,K,KC,5000,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,harrison butker,1,7500,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
749185,44104977,Evan Engram,TE,DEN,3400,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,evan engram,1,5100,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
838878,44104963,Courtland Sutton,WR,DEN,8000,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,courtland sutton,1,12000,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
839031,44104959,Patrick Mahomes,QB,KC,9600,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,patrick mahomes,1,14400,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
843733,44105006,Mitchell Fraboni,TE,DEN,200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,mitchell fraboni,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
865868,44104968,Jarrett Stidham,QB,DEN,6000,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,jarrett stidham,1,9000,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
875444,44104984,Adam Trautman,TE,DEN,1600,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,adam trautman,1,2400,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
885540,44104993,Adam Prentice,RB,DEN,200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,adam prentice,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
920482,44104998,Michael Bandy,WR,DEN,200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,michael bandy,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
920758,44104987,Lil'Jordan Humphrey,WR,DEN,1000,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,liljordan humphrey,1,1500,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
975829,44104969,Sam Ehlinger,QB,DEN,6000,512,OUT,DEN @ KC,2026-09-15 00:15:00+00:00,sam ehlinger,1,9000,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
976513,44104967,J.K. Dobbins,RB,DEN,6400,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,j k dobbins,1,9600,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1056981,44104982,Noah Gray,TE,KC,2000,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,noah gray,1,3000,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1108526,44105010,Thomas Odukoya,TE,KC,200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,thomas odukoya,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1110301,44104976,Tyquan Thornton,WR,KC,3600,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,tyquan thornton,1,5400,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1110681,44104962,Justin Fields,QB,KC,8600,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,justin fields,1,12900,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1122323,44105007,Lucas Krull,TE,DEN,200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,lucas krull,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1124338,44104990,Tyler Badie,RB,DEN,400,512,OUT,DEN @ KC,2026-09-15 00:15:00+00:00,tyler badie,1,600,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1125749,44104961,Jaylen Waddle,WR,DEN,9000,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,jaylen waddle,1,13500,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1127080,44104988,Nikko Remigio,WR,KC,800,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,nikko remigio,1,1200,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1130245,44104995,Ben VanSumeren,RB,KC,200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,ben vansumeren,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1132517,44104989,Nate Adkins,TE,DEN,600,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,nate adkins,1,900,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1140248,44104991,Cody Schrader,RB,DEN,200,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,cody schrader,1,300,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
1161899,44104958,Bo Nix,QB,DEN,9800,512,None,DEN @ KC,2026-09-15 00:15:00+00:00,bo nix,1,14700,153086,Showdown Captain Mode,2026-09-14T23:51:25+00:00
