dk_player_id,draftable_id,name,position,team,salary,roster_slot,status,disabled,attributes,game,starts_utc,norm,flex_eligible,captain_salary,playing,draft_group,game_type,captured_at
332,0,Broncos,DST,DEN,3800,512,,False,,JAX @ DEN,1970-01-01 00:29:49.934700+00:00,broncos,0,3800,clear,153444,Showdown Captain Mode,2026-09-17T23:50:43+00:00
365,0,Jaguars,DST,JAX,3400,512,,False,,JAX @ DEN,1970-01-01 00:29:49.934700+00:00,jaguars,0,3400,clear,153444,Showdown Captain Mode,2026-09-17T23:50:43+00:00
590796,0,Ameer Abdullah,RB,JAX,1000,512,,False,,JAX @ DEN,1970-01-01 00:29:49.934700+00:00,ameer abdullah,0,1000,clear,153444,Showdown Captain Mode,2026-09-17T23:50:43+00:00
700299,0,Wil Lutz,K,DEN,4800,512,,False,,JAX @ DEN,1970-01-01 00:29:49.934700+00:00,wil lutz,0,4800,clear,153444,Showdown Captain Mode,2026-09-17T23:50:43+00:00
748309,0,Nick Mullens,QB,JAX,6000,512,,False,,JAX @ DEN,1970-01-01 00:29:49.934700+00:00,nick mullens,0,6000,clear,153444,Showdown Captain Mode,2026-09-17T23:50:43+00:00
749185,0,Evan Engram,TE,DEN,4000,512,,False,,JAX @ DEN,1970-01-01 00:29:49.934700+00:00,evan engram,0,4000,clear,153444,Showdown Captain Mode,2026-09-17T23:50:43+00:00
838878,0,Courtland Sutton,WR,DEN,7800,512,,False,,JAX @ DEN,1970-01-01 00:29:49.934700+00:00,courtland sutton,0,7800,clear,153444,Showdown Captain Mode,2026-09-17T23:50:43+00:00
843733,0,Mitchell Fraboni,TE,DEN,200,512,,False,,JAX @ DEN,1970-01-01 00:29:49.934700+00:00,mitchell fraboni,0,200,clear,153444,Showdown Captain Mode,2026-09-17T23:50:43+00:00
865868,0,Jarrett Stidham,QB,DEN,6000,512,,False,,JAX @ DEN,1970-01-01 00:29:49.934700+00:00,jarrett stidham,0,6000,clear,153444,Showdown Captain Mode,2026-09-17T23:50:43+00:00
875444,0,Adam Trautman,TE,DEN,1800,512,,False,,JAX @ DEN,1970-01-01 00:29:49.934700+00:00,adam trautman,0,1800,clear,153444,Showdown Captain Mode,2026-09-17T23:50:43+00:00
880151,0,Jakobi Meyers,WR,JAX,7400,512,,False,,JAX @ DEN,1970-01-01 00:29:49.934700+00:00,jakobi meyers,0,7400,clear,153444,Showdown Captain Mode,2026-09-17T23:50:43+00:00
885540,0,Adam Prentice,RB,DEN,200,512,,False,,JAX @ DEN,1970-01-01 00:29:49.934700+00:00,adam prentice,0,200,clear,153444,Showdown Captain Mode,2026-09-17T23:50:43+00:00
920482,0,Michael Bandy,WR,DEN,200,512,,False,,JAX @ DEN,1970-01-01 00:29:49.934700+00:00,michael bandy,0,200,clear,153444,Showdown Captain Mode,2026-09-17T23:50:43+00:00
