contest_id,name,draft_group,game_type,entry_fee,entries,max_entries,max_per_user,prize_pool,starts_utc,starts_text
195648008,NFL $3M Fantasy Football Millionaire [$1M to 1st],153428,Classic,555.0,5532,6006,150,3000000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195648007,NFL $3M Fantasy Football Millionaire [$1M to 1st],153428,Classic,20.0,168381,176470,150,3000000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661332,NFL $175K Thunderdome [Single Entry],153428,Classic,5300.0,29,35,1,175000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195857852,NFL $20K Thunderdome [Must Fill],153428,Classic,5300.0,3,4,1,20000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195648006,NFL $800K Play-Action [20 Entry Max],153428,Classic,3.0,307236,317082,20,800000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195648009,NFL $900K Luxury Box [$200K to 1st],153428,Classic,3180.0,296,300,9,900000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195745385,NFL $6M Midseason Main Event [$1.5M to 1st],153728,Classic,1500.0,0,4444,133,6000000.0,2026-11-01 18:00:00+00:00,Sun 1:00PM
195701033,NFL $300K Early Only Rush [$100K to 1st] (Early Only),153429,Classic,20.0,17513,17647,150,300000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195883870,NFL $6K Spy [Single Entry] (Early Only),153429,Classic,100.0,48,66,1,6000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195895669,NFL $1K Spy [Single Entry] (Early Only),153429,Classic,100.0,2,11,1,1000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195870757,NFL GIANT $50 Double Up [Single Entry],153428,Classic,50.0,274,454,1,20000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661329,NFL GIANT $25 Double Up [Single Entry],153428,Classic,25.0,2106,2298,1,50000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661393,NFL GIANT $25 Double Up,153428,Classic,25.0,1523,1839,55,40000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195896075,NFL $5K Blind Side [Single Entry],153428,Classic,27.0,76,215,1,5000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195869528,NFL $8K Triple Option [5 Entry Max],153428,Classic,3.0,2337,3170,5,8000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195896208,NFL $4K Huddle [Single Entry],153428,Classic,5.0,265,951,1,4000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195892859,NFL $6K Spy [Single Entry],153428,Classic,100.0,47,66,1,6000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195894387,NFL $3K Pylon [Single Entry],153428,Classic,3.0,466,1189,1,3000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195896074,NFL $500 Pylon [Single Entry],153428,Classic,3.0,66,198,1,500.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661331,NFL GIANT $5 Double Up,153428,Classic,5.0,9099,9195,150,40000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661399,NFL GIANT $5 Double Up [Single Entry],153428,Classic,5.0,4570,4597,1,20000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195661351,NFL $10K Dime Package [Just $0.10!] ,153428,Classic,0.1,103058,118906,20,10000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195894030,NFL $5K Screen Pass [3 Entry Max],153428,Classic,15.0,324,392,3,5000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
195893730,NFL $6K Red Zone [Single Entry],153428,Classic,50.0,120,136,1,6000.0,2026-09-20 17:00:00+00:00,Sun 1:00PM
